 EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
-2860.6209588791085,19539.53737491815,-21834.63684733353,-35045.88127683178
-2839.4985603688438,19540.409092951908,-21790.536855523213,-35066.22136428611
-2839.163284202013,19538.419787695384,-21816.21900990236,-35068.56829745392
-2864.733679858885,19541.34786621903,-21905.223656323396,-35041.857962829825
-2884.6714359130187,19549.26038375621,-21938.05836892824,-35020.37793640827
-2858.2293222223907,19557.4187704824,-21845.164518971986,-35034.61599762631
-2843.119542970603,19557.19525303784,-21792.816733457654,-35057.28066650399
-2847.925168028494,19564.19134905235,-21808.664120276462,-35057.48183220409
-2866.4324124374884,19568.75110492124,-21888.92923461548,-35031.106773746826
-2901.882279143605,19568.95227062133,-21915.46075528392,-35011.12431420378
-2887.6218661811195,19575.88131140248,-21821.76224252728,-35028.513971390006
-2870.3886712060776,19576.68597420287,-21769.86149190205,-35058.06297755992
-2875.3284067307004,19579.412887026418,-21789.75454446728,-35065.215535785625
-2918.891956674094,19582.20685508333,-21874.467655952893,-35042.70732911913
-2963.215465928968,19584.35262255104,-21909.850467425644,-35026.412907411206
-2952.151352423591,19583.21268358382,-21827.171364685462,-35053.70438739114
-2923.7199334764405,19583.79382893966,-21777.34932629458,-35084.281573806
-2916.8802996731165,19588.86767493101,-21803.724384751844,-35090.584765742395
-2945.7140500204623,19595.01440465622,-21885.531769458263,-35067.2271927866
-2972.6031986001967,19610.414756585928,-21905.849505168146,-35042.55086690794
-2948.664480288563,19625.904515493457,-21801.511562050768,-35057.727701393094
-2922.065904386748,19630.88895450699,-21746.41451196844,-35088.03666687449
-2912.856985671161,19638.9355825109,-21770.867320402544,-35096.84325418988
-2938.0697534167475,19648.43507390441,-21853.23349872035,-35076.14553882427
-2980.895695793116,19656.66051586396,-21894.29365328475,-35064.6790939187
-2976.984140513437,19664.260108978764,-21814.006187201285,-35092.95405065466
-2946.921044221049,19675.301870739684,-21759.57968945261,-35122.748926013584
-2945.6469947870964,19687.483571467827,-21784.99362289829,-35130.169705172746
-2972.536143366831,19714.126850858556,-21863.448245936423,-35105.24751010508
-2992.719768609973,19755.99166822334,-21892.86314163961,-35073.79860565646
-2965.942378752515,19801.142192023064,-21806.965387697863,-35084.25922206154
-2928.3914480675994,19843.78932044379,-21754.282326016702,-35108.287347351
-2922.021200897837,19886.481152353423,-21774.130675093016,-35113.00356543107
-2946.339898865211,19937.33137098925,-21857.10035051112,-35089.60128898636
-2993.412672688088,19985.544083779347,-21899.032223109272,-35069.14944280976
-3002.8451088482275,20019.183459184584,-21824.04212046172,-35095.72566696712
-2982.952056283004,20039.43413966109,-21770.10736109106,-35127.15221967128
-2970.7480038104063,20061.69647713858,-21783.227835086327,-35133.231894163124
-2986.371873184666,20092.00544261997,-21860.698981368423,-35108.46616130664
-3011.3611234856994,20140.329914132348,-21892.05847883922,-35075.78791091298
-2986.908315051593,20181.70299311912,-21806.51835280876,-35087.61198372984
-2957.046384459303,20204.07708931888,-21746.92860209091,-35116.22221663263
-2953.693622791008,20221.645560460754,-21757.56803245164,-35124.9393969702
-2982.7508905829063,20223.43370001718,-21832.669893821465,-35104.88988219379
-3019.2289375339674,20213.33071152338,-21874.914690842,-35086.02500987351
-3003.5380129263417,20193.638824658254,-21790.402745056483,-35111.12601889682
-2965.0036054853927,20166.83908305634,-21724.35334019105,-35142.82079253445
-2947.949224465993,20132.640914039723,-21727.326122203605,-35151.94030427221
-2963.9083700070823,20099.605035734778,-21799.45520156088,-35131.37669937333
-2990.752815097906,20074.235805778004,-21837.27435317926,-35103.36996357083
-2973.810192800784,20041.44579666207,-21743.82170961162,-35114.29996660948
-2944.462352330965,19983.28655758936,-21674.173673888883,-35145.48065012463
-2941.86954997415,19921.28281847034,-21690.512799085715,-35158.93640028672
-2970.6362450881297,19869.717344011944,-21771.02378261373,-35141.23381867812
-3014.5574229428084,19820.275285276806,-21816.688396535923,-35122.10072542438
-3004.990876315937,19775.124761477087,-21738.32318047561,-35145.681815824726
-2968.4010706425997,19738.22203138137,-21677.57113904609,-35178.53888017403
-2944.3058901197783,19709.14241184502,-21688.635252551467,-35189.17831053476
-2962.4778583619427,19688.22117903485,-21756.71866616233,-35169.75464460309
-2999.9617338134926,19670.339783470605,-21798.605835271577,-35149.5486676155
-2990.5292976533533,19650.893765794488,-21721.64877911196,-35177.46599644017
-2955.280596647334,19639.092044722085,-21657.007534147207,-35213.6087672244
-2940.193169140002,19629.92782949541,-21666.68583949636,-35224.71758421869
-2955.2582449028787,19629.14551843948,-21741.027741554703,-35205.27156654258
