 EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
-86969.20716395465,-7479.407784868215,-30084.017525198167,-34492.385028885015
-87239.57386488604,-7705.294514333548,-30355.18888892995,-34467.44048207289
-89932.73555430598,-7826.418617536858,-30460.376198336628,-34359.30274239811
-90848.26300719536,-7712.000037670141,-30314.03932738773,-34345.26584688018
-89614.89374815152,-7551.559215969946,-30139.606313658514,-34397.47952192778
-86860.3988719462,-7487.588523338858,-30089.56075782308,-34492.720305051844
-87326.0080606947,-7738.53155833859,-30367.236479191364,-34458.879763946505
-89985.82094738734,-7851.497274815711,-30453.000122666377,-34349.87030623797
-90812.92489921152,-7747.919291009819,-30311.021841886264,-34348.39509110393
-89486.59473497805,-7593.759309501566,-30145.0154358167,-34411.80699012363
-86759.34663526376,-7518.612744642824,-30096.8027230266,-34498.6435173325
-87407.36841051202,-7755.585939357989,-30369.918688526,-34453.26947608822
-90039.95687245809,-7845.641117768421,-30434.090546857187,-34340.08024216655
-90780.5819249847,-7727.422741344302,-30285.362039251573,-34335.34167234202
-89362.65431197338,-7547.938233368187,-30116.695775591827,-34395.33375446007
-86681.5625645593,-7487.81204078341,-30093.561720080583,-34486.39476137099
-87510.49935942881,-7733.413008858324,-30374.05376125023,-34434.71752819032
-90106.18509127916,-7809.632457450922,-30431.02835786681,-34331.430117062344
-90750.25060775883,-7682.674548944778,-30280.601117682592,-34331.296006595614
-89228.96852838619,-7518.724503365101,-30107.419801642875,-34395.2219957378
-86605.65604038908,-7474.110421432308,-30097.115647448976,-34491.02157247324
-87603.05793321824,-7729.0544186895395,-30378.077075252186,-34435.99157762427
-90151.60383601236,-7798.97067534574,-30419.137229816584,-34333.28531185214
-90711.06799972868,-7669.978758094163,-30268.866451843554,-34335.22991361975
-89082.6763609262,-7510.141433494263,-30105.274034175163,-34407.6719173994
-86517.63487072407,-7486.247418671539,-30111.219598200278,-34491.51331085125
-87693.91777442906,-7743.515997352123,-30391.801046347744,-34423.85458038504
-90195.54736561148,-7802.97163760324,-30415.44919198146,-34320.9024454239
-90664.8445921951,-7687.346063535937,-30261.0433412842,-34325.59631175951
-88936.49595218849,-7538.885776863787,-30094.545196836614,-34397.18894924986
-86466.44937592142,-7541.076247820408,-30127.17874374137,-34490.68629630641
-87804.78242692738,-7800.468242224246,-30406.55319768825,-34414.66801341391
-90245.50351446908,-7829.234937338226,-30410.129476801096,-34313.906349409386
-90629.90881561146,-7701.338255564959,-30257.288248215707,-34328.45733504979
-88796.03759003134,-7534.907166350743,-30087.86202524448,-34403.156865019424
-86407.7983984707,-7534.236614017083,-30129.05629027561,-34485.031304959215
-87906.77343687695,-7800.35648350197,-30419.91954087252,-34412.83517036858
-90284.52966028806,-7835.404018807891,-30417.706718171445,-34320.92479716835
-90574.2306201733,-7684.261522801105,-30256.37182669304,-34336.3027973536
-88641.8776085231,-7496.708035076623,-30086.498568832707,-34415.49502795876
-86365.82182238363,-7516.15405275274,-30151.989180086755,-34493.9943544858
-88017.83925507538,-7771.343919198981,-30428.90494214356,-34410.935272089875
-90326.30507067504,-7789.739404885699,-30415.06921232572,-34331.31835834007
-90540.47948604578,-7656.724173632166,-30257.13178600452,-34349.691492282334
-88514.9420517614,-7491.05304372943,-30086.878548488447,-34427.18499030888
-86342.75482210575,-7532.962564583131,-30162.047465091644,-34501.68335457842
-88132.16842796426,-7793.650960165377,-30437.532715503305,-34421.73116466179
-90368.41575722882,-7809.408940006368,-30411.559988446235,-34341.80132648961
-90494.43489246783,-7684.507391990112,-30258.22702148283,-34369.47278612528
-88382.01622748568,-7522.166672011218,-30088.91255723388,-34448.15092660796
-86335.46815341333,-7574.782678459011,-30177.850148421545,-34516.18963672991
-88247.68224330929,-7820.517757000656,-30442.897134172577,-34420.61357743902
-90404.6926384798,-7822.507062257178,-30400.294709240763,-34337.12981189845
-90454.08999372604,-7696.957313651719,-30242.111413730552,-34356.28525689665
-88252.04083347808,-7542.484407721092,-30081.111798418977,-34438.18204858089
-86343.04539478366,-7611.931277743731,-30187.08141888159,-34496.16247369796
-88378.01526522818,-7863.321347632569,-30439.767889948835,-34392.539786403155
-90451.87717102494,-7825.032809380628,-30375.752493828837,-34314.35338429849
-90404.75969371316,-7666.067202814484,-30212.56240756064,-34339.29793111062
-88111.89539574331,-7497.199773454639,-30052.881545171924,-34423.69811817385
-86341.9278075609,-7573.955663914164,-30179.861805422523,-34478.05756068916
-88493.2832113842,-7810.682989440321,-30430.60367472216,-34378.23466995176
-90479.59333414953,-7781.692776881788,-30364.666028579,-34311.514712752665
-90341.30309120454,-7644.251900226105,-30209.746087759268,-34341.66721602288
-87962.87631545977,-7480.368909879793,-30051.89806841589,-34423.38519375148
-86350.75674662075,-7586.427937320225,-30194.099866640558,-34475.26359263225
-88597.77761671277,-7819.6236872224445,-30434.11289860164,-34372.44556813784
-90500.24634602622,-7771.790954088087,-30358.38518838706,-34307.111419094974
-90274.60548574993,-7641.524987402558,-30205.476904568302,-34343.92474221286
-87828.4305725611,-7502.050102001442,-30056.07784462903,-34437.287978802684
-86376.57301146664,-7609.450234109192,-30211.10954417104,-34480.67271479043
-88721.87450192863,-7822.484710512724,-30438.113860859143,-34371.73031231527
-90531.359974308,-7788.755928129665,-30353.75837728481,-34322.13179136894
-90213.22759547563,-7655.338365475937,-30193.98810791828,-34355.94998072982
-87697.96344017547,-7484.951017493131,-30047.539478247105,-34438.4279177699
-86417.00731718628,-7633.791283821021,-30219.871427997525,-34474.45892983185
-88841.05400336433,-7847.831588725042,-30435.23048582441,-34360.80030927662
-90554.0246431857,-7769.801648831564,-30338.71565326639,-34307.178474328335
-90155.40363256977,-7634.79711232151,-30188.087247382075,-34352.99955046172
-87575.00649392683,-7494.182287953173,-30044.678454956826,-34445.178144595404
-86461.55434388571,-7634.551243132501,-30224.542942588683,-34464.400644826965
-88954.37734775274,-7839.852015954497,-30433.956436390454,-34354.31830338458
-90576.66696031892,-7769.10874475345,-30333.462993319397,-34311.872340663955
-90084.63800962424,-7624.112978471873,-30177.336058299075,-34355.27942839616
-87447.40038483148,-7482.939360492153,-30047.04773986909,-34447.30156031866
-86512.672783455,-7637.300507700505,-30251.141518490494,-34474.81655774314
-89057.88827632526,-7824.094036113505,-30444.461756284447,-34358.073396453074
-90580.19853594288,-7744.2536049191485,-30334.535877053248,-34316.45444827729
-89994.11344458026,-7606.008065463075,-30177.626630976996,-34360.397977876426
-87325.40456359442,-7477.105555189319,-30053.3956352944,-34454.18589761089
-86572.41899638403,-7651.471513685169,-30269.447597199392,-34469.094511162584
-89170.02697825753,-7821.523585501145,-30452.32957033272,-34349.37856785996
-90604.1819577434,-7744.074790963506,-30341.35315911212,-34316.56620699957
-89936.35653690774,-7620.626106336846,-30187.50610202624,-34366.72352155728
-87228.7332688252,-7510.432006172181,-30076.932022205838,-34469.69800826287
-86658.78613695933,-7706.367398067403,-30301.07531560365,-34482.41615085795
-89290.61463959393,-7877.514705361689,-30462.83489022671,-34360.97912323226
-90621.72807714084,-7788.532410685112,-30334.42411833097,-34325.73042222625
-89842.6580241511,-7656.344193976426,-30170.988162873768,-34375.6642193394
